"sample";"year";"plot";"sp";"lambda"
1;2016;2;"LEMA";133,260634838562
1;2016;2;"LYTR";NA
1;2016;2;"MEEL";NA
1;2016;2;"MESU";133,056157575727
1;2016;2;"PAIN";33,4231014937678
1;2016;2;"PLCO";51,1704098171614
1;2016;2;"POMA";NA
1;2016;2;"POMO";NA
1;2016;2;"PUPA";NA
1;2016;2;"SASO";58,4456150930012
1;2016;2;"SCLA";39,9689054349456
1;2016;2;"SOAS";NA
1;2016;2;"SPRU";NA
1;2016;2;"SUSP";NA
1;2016;3;"BEMA";77,7919749724365
1;2016;3;"CETE";NA
1;2016;3;"CHFU";360,014380185104
1;2016;3;"CHMI";639,776935325252
1;2016;3;"HOMA";14,8577268239566
1;2016;3;"LEMA";133,260634838562
1;2016;3;"LYTR";NA
1;2016;3;"MEEL";NA
1;2016;3;"MESU";133,056157575727
1;2016;3;"PAIN";33,4231014937678
1;2016;3;"PLCO";51,1704098171614
1;2016;3;"POMA";NA
1;2016;3;"POMO";NA
1;2016;3;"PUPA";NA
1;2016;3;"SASO";NA
1;2016;3;"SCLA";39,9689054349456
1;2016;3;"SOAS";NA
1;2016;3;"SPRU";NA
1;2016;3;"SUSP";NA
1;2016;4;"BEMA";77,7919749724365
1;2016;4;"CETE";NA
1;2016;4;"CHFU";NA
1;2016;4;"CHMI";NA
1;2016;4;"HOMA";14,8577268239566
1;2016;4;"LEMA";133,260634838562
1;2016;4;"LYTR";NA
1;2016;4;"MEEL";16,9953445617045
1;2016;4;"MESU";133,056157575727
1;2016;4;"PAIN";33,4231014937678
1;2016;4;"PLCO";51,1704098171614
1;2016;4;"POMA";NA
1;2016;4;"POMO";NA
1;2016;4;"PUPA";NA
1;2016;4;"SASO";58,4456150930012
1;2016;4;"SCLA";39,9689054349456
1;2016;4;"SOAS";NA
1;2016;4;"SPRU";NA
1;2016;4;"SUSP";NA
1;2016;5;"BEMA";77,7919749724365
1;2016;5;"CETE";1526,40713558199
1;2016;5;"CHFU";360,014380185104
1;2016;5;"CHMI";NA
1;2016;5;"HOMA";14,8577268239566
1;2016;5;"LEMA";133,260634838562
1;2016;5;"LYTR";NA
1;2016;5;"MEEL";16,9953445617045
1;2016;5;"MESU";133,056157575727
1;2016;5;"PAIN";NA
1;2016;5;"PLCO";51,1704098171614
1;2016;5;"POMA";NA
1;2016;5;"POMO";NA
1;2016;5;"PUPA";NA
1;2016;5;"SASO";NA
1;2016;5;"SCLA";39,9689054349456
1;2016;5;"SOAS";NA
1;2016;5;"SPRU";NA
1;2016;5;"SUSP";NA
1;2016;6;"BEMA";77,7919749724365
1;2016;6;"CETE";NA
1;2016;6;"CHFU";NA
1;2016;6;"CHMI";NA
1;2016;6;"HOMA";14,8577268239566
1;2016;6;"LEMA";133,260634838562
1;2016;6;"LYTR";NA
1;2016;6;"MEEL";16,9953445617045
1;2016;6;"MESU";133,056157575727
1;2016;6;"PAIN";33,4231014937678
1;2016;6;"PLCO";51,1704098171614
1;2016;6;"POMA";NA
1;2016;6;"POMO";NA
1;2016;6;"PUPA";NA
1;2016;6;"SASO";58,4456150930012
1;2016;6;"SCLA";39,9689054349456
1;2016;6;"SOAS";209,138456042864
1;2016;6;"SPRU";810,700349304156
1;2016;6;"SUSP";NA
1;2016;7;"BEMA";77,7919749724365
1;2016;7;"CETE";NA
1;2016;7;"CHFU";360,014380185104
1;2016;7;"CHMI";NA
1;2016;7;"HOMA";14,8577268239566
1;2016;7;"LEMA";133,260634838562
1;2016;7;"LYTR";NA
1;2016;7;"MEEL";NA
1;2016;7;"MESU";133,056157575727
1;2016;7;"PAIN";33,4231014937678
1;2016;7;"PLCO";NA
1;2016;7;"POMA";78,5378578021882
1;2016;7;"POMO";NA
1;2016;7;"PUPA";1431,3951307389
1;2016;7;"SASO";58,4456150930012
1;2016;7;"SCLA";39,9689054349456
1;2016;7;"SOAS";209,138456042864
1;2016;7;"SPRU";810,700349304156
1;2016;7;"SUSP";NA
1;2016;8;"BEMA";77,7919749724365
1;2016;8;"CETE";NA
1;2016;8;"CHFU";360,014380185104
1;2016;8;"CHMI";NA
1;2016;8;"HOMA";14,8577268239566
1;2016;8;"LEMA";133,260634838562
1;2016;8;"LYTR";NA
1;2016;8;"MEEL";NA
1;2016;8;"MESU";133,056157575727
1;2016;8;"PAIN";33,4231014937678
1;2016;8;"PLCO";51,1704098171614
1;2016;8;"POMA";78,5378578021882
1;2016;8;"POMO";110,870803347474
1;2016;8;"PUPA";1431,3951307389
1;2016;8;"SASO";58,4456150930012
1;2016;8;"SCLA";39,9689054349456
1;2016;8;"SOAS";209,138456042864
1;2016;8;"SPRU";810,700349304156
1;2016;8;"SUSP";NA
1;2016;9;"BEMA";77,7919749724365
1;2016;9;"CETE";1526,40713558199
1;2016;9;"CHFU";NA
1;2016;9;"CHMI";NA
1;2016;9;"HOMA";14,8577268239566
1;2016;9;"LEMA";133,260634838562
1;2016;9;"LYTR";NA
1;2016;9;"MEEL";NA
1;2016;9;"MESU";133,056157575727
1;2016;9;"PAIN";33,4231014937678
1;2016;9;"PLCO";51,1704098171614
1;2016;9;"POMA";78,5378578021882
1;2016;9;"POMO";110,870803347474
1;2016;9;"PUPA";NA
1;2016;9;"SASO";58,4456150930012
1;2016;9;"SCLA";39,9689054349456
1;2016;9;"SOAS";209,138456042864
1;2016;9;"SPRU";810,700349304156
1;2016;9;"SUSP";NA
