"sample";"year";"plot";"sp";"lambda"
1;"2015";"1";"BEMA";89,7596008711763
1;"2015";"1";"CETE";409,513118537582
1;"2015";"1";"CHFU";768,459926062474
1;"2015";"1";"CHMI";NA
1;"2015";"1";"HOMA";155,377737389551
1;"2015";"1";"LEMA";663,109333458332
1;"2015";"1";"LYTR";NA
1;"2015";"1";"MEEL";20,1918029284185
1;"2015";"1";"MESU";82,9673121810054
1;"2015";"1";"PAIN";182,227928676948
1;"2015";"1";"PLCO";230,84075443305
1;"2015";"1";"POMA";208,882160351149
1;"2015";"1";"POMO";147,439992739084
1;"2015";"1";"PUPA";728,893974434918
1;"2015";"1";"SASO";720,502609335018
1;"2015";"1";"SCLA";144,360666915305
1;"2015";"1";"SOAS";108,701981544571
1;"2015";"1";"SPRU";503,909355397955
1;"2015";"1";"SUSP";NA
1;"2015";"2";"BEMA";166,801472060803
1;"2015";"2";"CETE";908,08298993578
1;"2015";"2";"CHFU";442,748285033704
1;"2015";"2";"CHMI";NA
1;"2015";"2";"HOMA";267,271244827294
1;"2015";"2";"LEMA";731,619949358997
1;"2015";"2";"LYTR";NA
1;"2015";"2";"MEEL";27,7077191907588
1;"2015";"2";"MESU";80,1904106907815
1;"2015";"2";"PAIN";95,4635266675893
1;"2015";"2";"PLCO";128,548054090056
1;"2015";"2";"POMA";232,619689694412
1;"2015";"2";"POMO";550,770672360602
1;"2015";"2";"PUPA";952,267726924619
1;"2015";"2";"SASO";333,140888598206
1;"2015";"2";"SCLA";262,748236652563
1;"2015";"2";"SOAS";188,566854467298
1;"2015";"2";"SPRU";1913,96515320139
1;"2015";"2";"SUSP";NA
1;"2015";"3";"BEMA";NA
1;"2015";"3";"CETE";340,932435571525
1;"2015";"3";"CHFU";1696,00976710183
1;"2015";"3";"CHMI";NA
1;"2015";"3";"HOMA";NA
1;"2015";"3";"LEMA";614,96800379582
1;"2015";"3";"LYTR";NA
1;"2015";"3";"MEEL";9,2705289017822
1;"2015";"3";"MESU";116,458726033242
1;"2015";"3";"PAIN";149,678002596344
1;"2015";"3";"PLCO";NA
1;"2015";"3";"POMA";272,206483707069
1;"2015";"3";"POMO";185,158938785348
1;"2015";"3";"PUPA";751,662928414017
1;"2015";"3";"SASO";960,173482094454
1;"2015";"3";"SCLA";NA
1;"2015";"3";"SOAS";81,5973205635438
1;"2015";"3";"SPRU";NA
1;"2015";"3";"SUSP";NA
1;"2015";"4";"BEMA";48,0398988766199
1;"2015";"4";"CETE";NA
1;"2015";"4";"CHFU";734,871881800713
1;"2015";"4";"CHMI";NA
1;"2015";"4";"HOMA";NA
1;"2015";"4";"LEMA";612,430889291168
1;"2015";"4";"LYTR";NA
1;"2015";"4";"MEEL";NA
1;"2015";"4";"MESU";NA
1;"2015";"4";"PAIN";226,939810224792
1;"2015";"4";"PLCO";107,087775374872
1;"2015";"4";"POMA";NA
1;"2015";"4";"POMO";NA
1;"2015";"4";"PUPA";766,197881196045
1;"2015";"4";"SASO";320,911216068818
1;"2015";"4";"SCLA";NA
1;"2015";"4";"SOAS";263,023544901866
1;"2015";"4";"SPRU";NA
1;"2015";"4";"SUSP";NA
1;"2015";"5";"BEMA";59,8503968784685
1;"2015";"5";"CETE";NA
1;"2015";"5";"CHFU";290,214866108143
1;"2015";"5";"CHMI";NA
1;"2015";"5";"HOMA";NA
1;"2015";"5";"LEMA";458,450951348214
1;"2015";"5";"LYTR";NA
1;"2015";"5";"MEEL";NA
1;"2015";"5";"MESU";NA
1;"2015";"5";"PAIN";147,338727718295
1;"2015";"5";"PLCO";91,3081172910197
1;"2015";"5";"POMA";NA
1;"2015";"5";"POMO";NA
1;"2015";"5";"PUPA";337,859467962532
1;"2015";"5";"SASO";1369,92591669126
1;"2015";"5";"SCLA";NA
1;"2015";"5";"SOAS";325,297739252107
1;"2015";"5";"SPRU";NA
1;"2015";"5";"SUSP";NA
1;"2015";"6";"BEMA";91,7373265269778
1;"2015";"6";"CETE";NA
1;"2015";"6";"CHFU";534,356445806675
1;"2015";"6";"CHMI";NA
1;"2015";"6";"HOMA";NA
1;"2015";"6";"LEMA";399,373226131948
1;"2015";"6";"LYTR";NA
1;"2015";"6";"MEEL";24,9651046983504
1;"2015";"6";"MESU";839,739035338846
1;"2015";"6";"PAIN";305,937104318787
1;"2015";"6";"PLCO";99,3117561694847
1;"2015";"6";"POMA";1129,47758954029
1;"2015";"6";"POMO";NA
1;"2015";"6";"PUPA";NA
1;"2015";"6";"SASO";426,432733322001
1;"2015";"6";"SCLA";82,8296563254165
1;"2015";"6";"SOAS";NA
1;"2015";"6";"SPRU";1711,3582418954
1;"2015";"6";"SUSP";NA
1;"2015";"7";"BEMA";NA
1;"2015";"7";"CETE";NA
1;"2015";"7";"CHFU";NA
1;"2015";"7";"CHMI";NA
1;"2015";"7";"HOMA";269,108686636189
1;"2015";"7";"LEMA";NA
1;"2015";"7";"LYTR";NA
1;"2015";"7";"MEEL";NA
1;"2015";"7";"MESU";NA
1;"2015";"7";"PAIN";NA
1;"2015";"7";"PLCO";NA
1;"2015";"7";"POMA";1885,19737700053
1;"2015";"7";"POMO";158,338297654638
1;"2015";"7";"PUPA";NA
1;"2015";"7";"SASO";97,7353497174223
1;"2015";"7";"SCLA";NA
1;"2015";"7";"SOAS";NA
1;"2015";"7";"SPRU";NA
1;"2015";"7";"SUSP";NA
1;"2015";"8";"BEMA";NA
1;"2015";"8";"CETE";NA
1;"2015";"8";"CHFU";NA
1;"2015";"8";"CHMI";NA
1;"2015";"8";"HOMA";407,601851059755
1;"2015";"8";"LEMA";NA
1;"2015";"8";"LYTR";NA
1;"2015";"8";"MEEL";NA
1;"2015";"8";"MESU";NA
1;"2015";"8";"PAIN";NA
1;"2015";"8";"PLCO";NA
1;"2015";"8";"POMA";1709,59679735246
1;"2015";"8";"POMO";NA
1;"2015";"8";"PUPA";NA
1;"2015";"8";"SASO";281,092136355541
1;"2015";"8";"SCLA";NA
1;"2015";"8";"SOAS";NA
1;"2015";"8";"SPRU";874,212624762372
1;"2015";"8";"SUSP";NA
1;"2015";"9";"BEMA";NA
1;"2015";"9";"CETE";NA
1;"2015";"9";"CHFU";NA
1;"2015";"9";"CHMI";NA
1;"2015";"9";"HOMA";NA
1;"2015";"9";"LEMA";NA
1;"2015";"9";"LYTR";NA
1;"2015";"9";"MEEL";NA
1;"2015";"9";"MESU";NA
1;"2015";"9";"PAIN";NA
1;"2015";"9";"PLCO";NA
1;"2015";"9";"POMA";NA
1;"2015";"9";"POMO";NA
1;"2015";"9";"PUPA";NA
1;"2015";"9";"SASO";NA
1;"2015";"9";"SCLA";NA
1;"2015";"9";"SOAS";NA
1;"2015";"9";"SPRU";NA
1;"2015";"9";"SUSP";NA
1;"2016";"1";"BEMA";59,3050763167061
1;"2016";"1";"CETE";NA
1;"2016";"1";"CHFU";71,4185083922975
1;"2016";"1";"CHMI";NA
1;"2016";"1";"HOMA";10,3843768599165
1;"2016";"1";"LEMA";105,09999949911
1;"2016";"1";"LYTR";NA
1;"2016";"1";"MEEL";NA
1;"2016";"1";"MESU";167,809218713547
1;"2016";"1";"PAIN";22,3866509241385
1;"2016";"1";"PLCO";31,3614468211582
1;"2016";"1";"POMA";NA
1;"2016";"1";"POMO";NA
1;"2016";"1";"PUPA";NA
1;"2016";"1";"SASO";89,0237982647421
1;"2016";"1";"SCLA";20,5987353281142
1;"2016";"1";"SOAS";NA
1;"2016";"1";"SPRU";NA
1;"2016";"1";"SUSP";NA
1;"2016";"2";"BEMA";110,64693073491
1;"2016";"2";"CETE";NA
1;"2016";"2";"CHFU";206,104214176891
1;"2016";"2";"CHMI";NA
1;"2016";"2";"HOMA";3,94643792275116
1;"2016";"2";"LEMA";80,2379952218535
1;"2016";"2";"LYTR";NA
1;"2016";"2";"MEEL";NA
1;"2016";"2";"MESU";192,735283721613
1;"2016";"2";"PAIN";22,7884990007799
1;"2016";"2";"PLCO";14,3210244466125
1;"2016";"2";"POMA";NA
1;"2016";"2";"POMO";NA
1;"2016";"2";"PUPA";NA
1;"2016";"2";"SASO";57,4696544352798
1;"2016";"2";"SCLA";19,6498702684452
1;"2016";"2";"SOAS";NA
1;"2016";"2";"SPRU";NA
1;"2016";"2";"SUSP";NA
