"year";"plot";"sp";"pairwise";"indirect";"dominant";"transient";"replicate";"null_model"
2015;1;"BEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"BEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"BEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;4;"BEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;5;"BEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;6;"BEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"BEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"BEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"BEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"CETE";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"CETE";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"CETE";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;4;"CETE";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"CETE";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;6;"CETE";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;7;"CETE";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"CETE";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"CETE";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;4;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;5;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;6;"CHFU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"CHFU";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"CHFU";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;9;"CHFU";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;2;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;3;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;4;"CHMI";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;6;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;7;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"CHMI";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"HOMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"HOMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"HOMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;4;"HOMA";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"HOMA";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;6;"HOMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;7;"HOMA";TRUE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"HOMA";TRUE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"HOMA";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;1;"LEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"LEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"LEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;4;"LEMA";FALSE;TRUE;FALSE;FALSE;1;"KD"
2015;5;"LEMA";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;6;"LEMA";FALSE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"LEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"LEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"LEMA";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"LYTR";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;2;"LYTR";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;3;"LYTR";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;4;"LYTR";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"LYTR";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;6;"LYTR";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;7;"LYTR";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;8;"LYTR";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;9;"LYTR";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;1;"MEEL";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"MEEL";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"MEEL";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;4;"MEEL";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"MEEL";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;6;"MEEL";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"MEEL";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"MEEL";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"MEEL";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"MESU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"MESU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"MESU";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;4;"MESU";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;5;"MESU";FALSE;FALSE;FALSE;TRUE;1;"KD"
2015;6;"MESU";FALSE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"MESU";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"MESU";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;9;"MESU";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;1;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;2;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;3;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;4;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;5;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;6;"PAIN";TRUE;TRUE;FALSE;FALSE;1;"KD"
2015;7;"PAIN";FALSE;FALSE;FALSE;FALSE;1;"KD"
2015;8;"PAIN";FALSE;FALSE;FALSE;FALSE;1;"KD"
