"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"LYTR";"CHFU";NA
2015;1;"LYTR";"CHMI";NA
2015;1;"LYTR";"HOMA";NA
2015;1;"LYTR";"LEMA";NA
2015;1;"LYTR";"LYTR";NA
2015;1;"LYTR";"MEEL";NA
2015;1;"LYTR";"MESU";NA
2015;1;"LYTR";"PAIN";NA
2015;1;"LYTR";"PLCO";NA
2015;1;"LYTR";"POMA";NA
2015;1;"LYTR";"POMO";NA
2015;1;"LYTR";"PUPA";NA
2015;1;"LYTR";"SASO";NA
2015;1;"LYTR";"SCLA";NA
2015;1;"LYTR";"SOAS";NA
2015;1;"LYTR";"SPRU";NA
2015;1;"LYTR";"SUSP";NA
2015;1;"MEEL";"BEMA";0,177221322135856
2015;1;"MEEL";"CETE";NA
2015;1;"MEEL";"CHFU";NA
2015;1;"MEEL";"CHMI";NA
2015;1;"MEEL";"HOMA";0,0810973463162069
2015;1;"MEEL";"LEMA";0,0772469537160859
2015;1;"MEEL";"LYTR";NA
2015;1;"MEEL";"MEEL";0,111703978664541
2015;1;"MEEL";"MESU";-0,00284047704000136
2015;1;"MEEL";"PAIN";NA
2015;1;"MEEL";"PLCO";0,104147877709142
2015;1;"MEEL";"POMA";0,0248603471427317
2015;1;"MEEL";"POMO";NA
2015;1;"MEEL";"PUPA";NA
2015;1;"MEEL";"SASO";0,116448151854773
2015;1;"MEEL";"SCLA";NA
2015;1;"MEEL";"SOAS";NA
2015;1;"MEEL";"SPRU";NA
2015;1;"MEEL";"SUSP";NA
2015;1;"MESU";"BEMA";NA
2015;1;"MESU";"CETE";0,0275038729032609
2015;1;"MESU";"CHFU";0,101266787942863
2015;1;"MESU";"CHMI";NA
2015;1;"MESU";"HOMA";0,22433706070368
2015;1;"MESU";"LEMA";0,148094863616222
2015;1;"MESU";"LYTR";NA
2015;1;"MESU";"MEEL";0,0757691546199715
2015;1;"MESU";"MESU";0,0952821117969108
2015;1;"MESU";"PAIN";-0,0318527919800553
2015;1;"MESU";"PLCO";0,0322889783597307
2015;1;"MESU";"POMA";0,00555991222438554
2015;1;"MESU";"POMO";0,199861006700334
2015;1;"MESU";"PUPA";NA
2015;1;"MESU";"SASO";0,0316493980366831
2015;1;"MESU";"SCLA";NA
2015;1;"MESU";"SOAS";NA
2015;1;"MESU";"SPRU";NA
2015;1;"MESU";"SUSP";NA
2015;1;"PAIN";"BEMA";0,0957748441846681
2015;1;"PAIN";"CETE";0,00546545318943751
2015;1;"PAIN";"CHFU";0,104021654201936
2015;1;"PAIN";"CHMI";NA
2015;1;"PAIN";"HOMA";0,207449780775261
2015;1;"PAIN";"LEMA";0,246185393223398
2015;1;"PAIN";"LYTR";NA
2015;1;"PAIN";"MEEL";NA
2015;1;"PAIN";"MESU";0,204921368443946
2015;1;"PAIN";"PAIN";0,0407046101400136
2015;1;"PAIN";"PLCO";0,0330142786159612
2015;1;"PAIN";"POMA";-0,0014906463556397
2015;1;"PAIN";"POMO";0,210835713104826
2015;1;"PAIN";"PUPA";NA
2015;1;"PAIN";"SASO";-0,0141195296984234
2015;1;"PAIN";"SCLA";0,127348695760679
2015;1;"PAIN";"SOAS";NA
2015;1;"PAIN";"SPRU";NA
2015;1;"PAIN";"SUSP";NA
2015;1;"PLCO";"BEMA";0,0708041189559258
2015;1;"PLCO";"CETE";0,021161295537809
2015;1;"PLCO";"CHFU";-0,00149164158973042
2015;1;"PLCO";"CHMI";NA
2015;1;"PLCO";"HOMA";0,133091561264087
2015;1;"PLCO";"LEMA";0,00321050107373802
2015;1;"PLCO";"LYTR";NA
2015;1;"PLCO";"MEEL";NA
2015;1;"PLCO";"MESU";0,359138770829806
2015;1;"PLCO";"PAIN";-0,121803036241501
2015;1;"PLCO";"PLCO";0,0543375780302188
2015;1;"PLCO";"POMA";0,00163337732101124
2015;1;"PLCO";"POMO";NA
2015;1;"PLCO";"PUPA";-0,0485177080856231
2015;1;"PLCO";"SASO";0,0378350999904533
2015;1;"PLCO";"SCLA";NA
2015;1;"PLCO";"SOAS";NA
2015;1;"PLCO";"SPRU";NA
2015;1;"PLCO";"SUSP";NA
2015;1;"POMA";"BEMA";0,0638216151045309
2015;1;"POMA";"CETE";0,152094267882679
2015;1;"POMA";"CHFU";0,264411415077997
2015;1;"POMA";"CHMI";NA
2015;1;"POMA";"HOMA";0,342566643130719
2015;1;"POMA";"LEMA";0,682694204294452
2015;1;"POMA";"LYTR";NA
2015;1;"POMA";"MEEL";NA
2015;1;"POMA";"MESU";0,104423606802975
2015;1;"POMA";"PAIN";0,407584495355731
2015;1;"POMA";"PLCO";0,175001587797418
2015;1;"POMA";"POMA";0,109645721147425
2015;1;"POMA";"POMO";0,118090572773447
2015;1;"POMA";"PUPA";-0,00450117600564709
2015;1;"POMA";"SASO";0,0146574175295538
2015;1;"POMA";"SCLA";0,373576636689666
2015;1;"POMA";"SOAS";NA
2015;1;"POMA";"SPRU";0,0363509193646108
2015;1;"POMA";"SUSP";NA
2015;1;"POMO";"BEMA";NA
2015;1;"POMO";"CETE";0,0814913771269283
2015;1;"POMO";"CHFU";0,292964110794013
2015;1;"POMO";"CHMI";NA
2015;1;"POMO";"HOMA";0,225060766113929
2015;1;"POMO";"LEMA";0,401371738873667
2015;1;"POMO";"LYTR";NA
2015;1;"POMO";"MEEL";NA
2015;1;"POMO";"MESU";0,0132515943120139
2015;1;"POMO";"PAIN";0,0768337475540349
2015;1;"POMO";"PLCO";0,152083449415472
2015;1;"POMO";"POMA";0,0515631390900083
