"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"BEMA";"BEMA";0
2015;1;"BEMA";"CETE";-0,36613453066026
2015;1;"BEMA";"CHFU";-0,219607723633193
2015;1;"BEMA";"CHMI";NA
2015;1;"BEMA";"HOMA";0,000259159340063148
2015;1;"BEMA";"LEMA";-0,0491653244427012
2015;1;"BEMA";"LYTR";NA
2015;1;"BEMA";"MEEL";0
2015;1;"BEMA";"MESU";0
2015;1;"BEMA";"PAIN";-0,055802948812346
2015;1;"BEMA";"PLCO";0,00343587603924822
2015;1;"BEMA";"POMA";-0,00848122604773668
2015;1;"BEMA";"POMO";0
2015;1;"BEMA";"PUPA";0
2015;1;"BEMA";"SASO";-0,0448879840912943
2015;1;"BEMA";"SCLA";0
2015;1;"BEMA";"SOAS";0
2015;1;"BEMA";"SPRU";0
2015;1;"BEMA";"SUSP";NA
2015;1;"CETE";"BEMA";0
2015;1;"CETE";"CETE";0,0134857419757475
2015;1;"CETE";"CHFU";0,0432498597186703
2015;1;"CETE";"CHMI";NA
2015;1;"CETE";"HOMA";-0,000550436581192673
2015;1;"CETE";"LEMA";-0,0337217434443793
2015;1;"CETE";"LYTR";NA
2015;1;"CETE";"MEEL";0
2015;1;"CETE";"MESU";0,0936120022629479
2015;1;"CETE";"PAIN";-0,0364697430604332
2015;1;"CETE";"PLCO";0,0440206946099912
2015;1;"CETE";"POMA";-0,0100885567479638
2015;1;"CETE";"POMO";-0,0150208464722515
2015;1;"CETE";"PUPA";0,0167016862504547
2015;1;"CETE";"SASO";0,0163832961667877
2015;1;"CETE";"SCLA";0,0864372805009088
2015;1;"CETE";"SOAS";0,696076151712403
2015;1;"CETE";"SPRU";0
2015;1;"CETE";"SUSP";NA
2015;1;"CHFU";"BEMA";0,0277205526101514
2015;1;"CHFU";"CETE";0
2015;1;"CHFU";"CHFU";-0,000604158789113592
2015;1;"CHFU";"CHMI";NA
2015;1;"CHFU";"HOMA";0,0249685411926745
2015;1;"CHFU";"LEMA";-0,00225987685052863
2015;1;"CHFU";"LYTR";NA
2015;1;"CHFU";"MEEL";0,104220600781608
2015;1;"CHFU";"MESU";0,0719630178205195
2015;1;"CHFU";"PAIN";NA
2015;1;"CHFU";"PLCO";0,0230155194360045
2015;1;"CHFU";"POMA";0,0239123529093574
2015;1;"CHFU";"POMO";0
2015;1;"CHFU";"PUPA";0
2015;1;"CHFU";"SASO";0
2015;1;"CHFU";"SCLA";0
2015;1;"CHFU";"SOAS";0
2015;1;"CHFU";"SPRU";0
2015;1;"CHFU";"SUSP";NA
2015;1;"CHMI";"BEMA";NA
2015;1;"CHMI";"CETE";NA
2015;1;"CHMI";"CHFU";NA
2015;1;"CHMI";"CHMI";NA
2015;1;"CHMI";"HOMA";NA
2015;1;"CHMI";"LEMA";NA
