"year";"n.plots";"plots";"richness"
"2016";"2";"2_4";14
"2017";"2";"2_4";17
"2018";"2";"2_4";15
"2019";"2";"2_4";16
"2015";"2";"2_5";16
"2016";"2";"2_5";14
"2017";"2";"2_5";17
"2018";"2";"2_5";13
"2019";"2";"2_5";14
"2015";"2";"2_6";17
"2016";"2";"2_6";15
"2017";"2";"2_6";17
"2018";"2";"2_6";13
"2019";"2";"2_6";16
"2015";"2";"2_7";18
"2016";"2";"2_7";17
"2017";"2";"2_7";15
"2018";"2";"2_7";13
"2019";"2";"2_7";17
"2015";"2";"2_8";18
"2016";"2";"2_8";17
"2017";"2";"2_8";15
"2018";"2";"2_8";13
"2019";"2";"2_8";17
"2015";"2";"2_9";18
"2016";"2";"2_9";17
"2017";"2";"2_9";14
"2018";"2";"2_9";13
"2019";"2";"2_9";17
"2015";"2";"3_4";19
"2016";"2";"3_4";14
"2017";"2";"3_4";16
"2018";"2";"3_4";11
"2019";"2";"3_4";12
"2015";"2";"3_5";16
"2016";"2";"3_5";13
"2017";"2";"3_5";16
"2018";"2";"3_5";9
"2019";"2";"3_5";12
"2015";"2";"3_6";16
"2016";"2";"3_6";15
"2017";"2";"3_6";16
"2018";"2";"3_6";9
"2019";"2";"3_6";11
"2015";"2";"3_7";15
"2016";"2";"3_7";17
"2017";"2";"3_7";15
"2018";"2";"3_7";9
"2019";"2";"3_7";16
"2015";"2";"3_8";15
"2016";"2";"3_8";17
"2017";"2";"3_8";15
"2018";"2";"3_8";9
"2019";"2";"3_8";15
"2015";"2";"3_9";15
"2016";"2";"3_9";17
"2017";"2";"3_9";14
"2018";"2";"3_9";9
"2019";"2";"3_9";13
"2015";"2";"4_5";19
"2016";"2";"4_5";14
"2017";"2";"4_5";13
"2018";"2";"4_5";8
"2019";"2";"4_5";15
"2015";"2";"4_6";19
"2016";"2";"4_6";15
"2017";"2";"4_6";11
"2018";"2";"4_6";8
"2019";"2";"4_6";12
"2015";"2";"4_7";19
"2016";"2";"4_7";18
"2017";"2";"4_7";12
"2018";"2";"4_7";8
"2019";"2";"4_7";16
"2015";"2";"4_8";19
"2016";"2";"4_8";18
"2017";"2";"4_8";12
"2018";"2";"4_8";8
"2019";"2";"4_8";15
"2015";"2";"4_9";19
"2016";"2";"4_9";18
"2017";"2";"4_9";12
"2018";"2";"4_9";8
"2019";"2";"4_9";15
"2015";"2";"5_6";17
"2016";"2";"5_6";14
"2017";"2";"5_6";12
"2018";"2";"5_6";6
"2019";"2";"5_6";12
"2015";"2";"5_7";18
"2016";"2";"5_7";17
"2017";"2";"5_7";12
"2018";"2";"5_7";5
"2019";"2";"5_7";17
"2015";"2";"5_8";18
"2016";"2";"5_8";17
"2017";"2";"5_8";12
"2018";"2";"5_8";5
"2019";"2";"5_8";16
"2015";"2";"5_9";18
"2016";"2";"5_9";17
"2017";"2";"5_9";12
"2018";"2";"5_9";5
"2019";"2";"5_9";15
"2015";"2";"6_7";18
"2016";"2";"6_7";17
"2017";"2";"6_7";11
"2018";"2";"6_7";5
"2019";"2";"6_7";16
"2015";"2";"6_8";18
"2016";"2";"6_8";17
"2017";"2";"6_8";11
"2018";"2";"6_8";5
"2019";"2";"6_8";15
"2015";"2";"6_9";18
"2016";"2";"6_9";17
"2017";"2";"6_9";11
"2018";"2";"6_9";5
"2019";"2";"6_9";14
"2015";"2";"7_8";8
"2016";"2";"7_8";16
"2017";"2";"7_8";8
"2018";"2";"7_8";1
"2019";"2";"7_8";16
"2015";"2";"7_9";7
"2016";"2";"7_9";17
"2017";"2";"7_9";6
"2018";"2";"7_9";1
"2019";"2";"7_9";17
"2015";"2";"8_9";7
"2016";"2";"8_9";17
"2017";"2";"8_9";8
