"year";"n.plots";"coexisting.sp";"se.sp";"sd.sp";"max.sp";"min.sp";"fit.type";"area"
2015;"1";12,6666666666667;1,64991582276861;4,94974746830583;19;6;"richness";72,25
2015;"2";16,6111111111111;0,518357873829994;3,11014724297996;19;7;"richness";144,5
2015;"3";17,9404761904762;0,159199797679634;1,45909024697716;19;8;"richness";216,75
2015;"4";18,3730158730159;0,0593447040833998;0,666142651198699;19;15;"richness";289
2015;"5";18,547619047619;0,0459221464809188;0,515474815790535;19;17;"richness";361,25
2015;"6";18,6666666666667;0,0517433683804222;0,474235804630538;19;18;"richness";433,5
2015;"7";18,7777777777778;0,0702728368926307;0,421637021355784;19;18;"richness";505,75
2015;"8";18,8888888888889;0,111111111111111;0,333333333333333;19;18;"richness";578
2015;"9";19;NA;NA;19;19;"richness";650,25
2016;"1";12,7777777777778;0,74120355911813;2,22361067735439;15;10;"richness";72,25
2016;"2";15,5;0,334521691232066;2,0071301473924;18;11;"richness";144,5
2016;"3";16,8214285714286;0,171189951539911;1,56898182229493;19;11;"richness";216,75
2016;"4";17,6507936507937;0,108856953065886;1,22191626762204;19;14;"richness";289
2016;"5";18,1904761904762;0,0810363709949815;0,909631008392178;19;14;"richness";361,25
2016;"6";18,5357142857143;0,0686866143860652;0,629523219308773;19;15;"richness";433,5
2016;"7";18,75;0,07319250547114;0,43915503282684;19;18;"richness";505,75
2016;"8";18,8888888888889;0,111111111111111;0,333333333333333;19;18;"richness";578
2016;"9";19;NA;NA;19;19;"richness";650,25
2017;"1";10;1,46249406456535;4,38748219369606;14;1;"richness";72,25
2017;"2";13,5;0,446325384900242;2,67795230940145;17;6;"richness";144,5
2017;"3";15,0357142857143;0,21586955311477;1,97847713476944;17;8;"richness";216,75
2017;"4";15,8730158730159;0,127980220190032;1,43657440870497;17;11;"richness";289
2017;"5";16,3492063492063;0,0867892615092921;0,974207044256694;17;12;"richness";361,25
2017;"6";16,6190476190476;0,0675460402784948;0,619069684941477;17;13;"richness";433,5
2017;"7";16,7777777777778;0,0702728368926307;0,421637021355784;17;16;"richness";505,75
2017;"8";16,8888888888889;0,111111111111111;0,333333333333333;17;16;"richness";578
2017;"9";17;NA;NA;17;17;"richness";650,25
2018;"1";5,44444444444444;1,50102845401181;4,50308536203543;13;0;"richness";72,25
2018;"2";8,33333333333333;0,610750254208603;3,66450152525162;15;0;"richness";144,5
2018;"3";10,0595238095238;0,338040992634244;3,09819687348886;16;1;"richness";216,75
2018;"4";11,3015873015873;0,253300709997148;2,84329341790774;16;5;"richness";289
2018;"5";12,3492063492063;0,237798757207016;2,66928442940788;16;6;"richness";361,25
2018;"6";13,3095238095238;0,2672484637698;2,44937262917154;16;8;"richness";433,5
2018;"7";14,2222222222222;0,35659570079736;2,13957420478416;16;9;"richness";505,75
2018;"8";15,1111111111111;0,56382730917179;1,69148192751537;16;11;"richness";578
2018;"9";16;NA;NA;16;16;"richness";650,25
2019;"1";11,4444444444444;1,0423146132941;3,12694383988229;16;8;"richness";72,25
2019;"2";14,4722222222222;0,355201957110454;2,13121174266273;17;9;"richness";144,5
2019;"3";16;0,151489070931171;1,38842026900125;18;12;"richness";216,75
