"fit.type";"year";"n.plots";"plots";"num.sp"
"heterogeneous";2018;2;"1_3";7
"heterogeneous";2019;2;"1_3";7
"heterogeneous";2015;2;"1_4";16
"heterogeneous";2016;2;"1_4";10
"heterogeneous";2017;2;"1_4";12
"heterogeneous";2018;2;"1_4";6
"heterogeneous";2019;2;"1_4";9
"heterogeneous";2015;2;"1_5";16
"heterogeneous";2016;2;"1_5";11
"heterogeneous";2017;2;"1_5";9
"heterogeneous";2018;2;"1_5";7
"heterogeneous";2019;2;"1_5";7
"heterogeneous";2015;2;"1_6";16
"heterogeneous";2016;2;"1_6";12
"heterogeneous";2017;2;"1_6";10
"heterogeneous";2018;2;"1_6";6
"heterogeneous";2019;2;"1_6";8
"heterogeneous";2015;2;"1_7";16
"heterogeneous";2016;2;"1_7";13
"heterogeneous";2017;2;"1_7";5
"heterogeneous";2018;2;"1_7";6
"heterogeneous";2019;2;"1_7";16
"heterogeneous";2015;2;"1_8";16
"heterogeneous";2016;2;"1_8";13
"heterogeneous";2017;2;"1_8";6
"heterogeneous";2018;2;"1_8";6
"heterogeneous";2019;2;"1_8";13
"heterogeneous";2015;2;"1_9";16
"heterogeneous";2016;2;"1_9";12
"heterogeneous";2017;2;"1_9";5
"heterogeneous";2018;2;"1_9";6
"heterogeneous";2019;2;"1_9";11
"heterogeneous";2015;2;"2_3";16
"heterogeneous";2016;2;"2_3";9
"heterogeneous";2017;2;"2_3";14
"heterogeneous";2018;2;"2_3";8
"heterogeneous";2019;2;"2_3";10
"heterogeneous";2015;2;"2_4";16
"heterogeneous";2016;2;"2_4";10
"heterogeneous";2017;2;"2_4";14
"heterogeneous";2018;2;"2_4";8
"heterogeneous";2019;2;"2_4";13
"heterogeneous";2015;2;"2_5";16
"heterogeneous";2016;2;"2_5";11
"heterogeneous";2017;2;"2_5";13
"heterogeneous";2018;2;"2_5";8
"heterogeneous";2019;2;"2_5";10
"heterogeneous";2015;2;"2_6";16
"heterogeneous";2016;2;"2_6";12
"heterogeneous";2017;2;"2_6";13
"heterogeneous";2018;2;"2_6";8
"heterogeneous";2019;2;"2_6";12
"heterogeneous";2015;2;"2_7";16
"heterogeneous";2016;2;"2_7";13
"heterogeneous";2017;2;"2_7";11
"heterogeneous";2018;2;"2_7";8
"heterogeneous";2019;2;"2_7";16
"heterogeneous";2015;2;"2_8";16
"heterogeneous";2016;2;"2_8";13
"heterogeneous";2017;2;"2_8";11
"heterogeneous";2018;2;"2_8";8
"heterogeneous";2019;2;"2_8";15
"heterogeneous";2015;2;"2_9";16
"heterogeneous";2016;2;"2_9";12
"heterogeneous";2017;2;"2_9";11
"heterogeneous";2018;2;"2_9";8
"heterogeneous";2019;2;"2_9";15
"heterogeneous";2015;2;"3_4";11
"heterogeneous";2016;2;"3_4";10
"heterogeneous";2017;2;"3_4";16
"heterogeneous";2018;2;"3_4";7
"heterogeneous";2019;2;"3_4";7
"heterogeneous";2015;2;"3_5";12
"heterogeneous";2016;2;"3_5";9
"heterogeneous";2017;2;"3_5";15
"heterogeneous";2018;2;"3_5";7
"heterogeneous";2019;2;"3_5";3
"heterogeneous";2015;2;"3_6";14
"heterogeneous";2016;2;"3_6";12
"heterogeneous";2017;2;"3_6";15
"heterogeneous";2018;2;"3_6";7
"heterogeneous";2019;2;"3_6";6
"heterogeneous";2015;2;"3_7";9
"heterogeneous";2016;2;"3_7";13
"heterogeneous";2017;2;"3_7";14
"heterogeneous";2018;2;"3_7";7
"heterogeneous";2019;2;"3_7";15
"heterogeneous";2015;2;"3_8";11
"heterogeneous";2016;2;"3_8";13
"heterogeneous";2017;2;"3_8";14
"heterogeneous";2018;2;"3_8";7
"heterogeneous";2019;2;"3_8";12
"heterogeneous";2015;2;"3_9";9
"heterogeneous";2016;2;"3_9";11
"heterogeneous";2017;2;"3_9";14
"heterogeneous";2018;2;"3_9";7
"heterogeneous";2019;2;"3_9";10
"heterogeneous";2015;2;"4_5";8
"heterogeneous";2016;2;"4_5";10
"heterogeneous";2017;2;"4_5";10
"heterogeneous";2018;2;"4_5";3
"heterogeneous";2019;2;"4_5";7
"heterogeneous";2015;2;"4_6";12
"heterogeneous";2016;2;"4_6";11
"heterogeneous";2017;2;"4_6";11
"heterogeneous";2018;2;"4_6";0
"heterogeneous";2019;2;"4_6";7
"heterogeneous";2015;2;"4_7";8
"heterogeneous";2016;2;"4_7";14
"heterogeneous";2017;2;"4_7";10
"heterogeneous";2018;2;"4_7";0
"heterogeneous";2019;2;"4_7";15
"heterogeneous";2015;2;"4_8";10
"heterogeneous";2016;2;"4_8";14
"heterogeneous";2017;2;"4_8";10
"heterogeneous";2018;2;"4_8";0
"heterogeneous";2019;2;"4_8";12
"heterogeneous";2015;2;"4_9";7
"heterogeneous";2016;2;"4_9";12
"heterogeneous";2017;2;"4_9";10
"heterogeneous";2018;2;"4_9";0
"heterogeneous";2019;2;"4_9";10
"heterogeneous";2015;2;"5_6";13
"heterogeneous";2016;2;"5_6";12
"heterogeneous";2017;2;"5_6";10
"heterogeneous";2018;2;"5_6";3
"heterogeneous";2019;2;"5_6";6
"heterogeneous";2015;2;"5_7";9
"heterogeneous";2016;2;"5_7";15
"heterogeneous";2017;2;"5_7";7
"heterogeneous";2018;2;"5_7";3
"heterogeneous";2019;2;"5_7";15
"heterogeneous";2015;2;"5_8";11
"heterogeneous";2016;2;"5_8";15
"heterogeneous";2017;2;"5_8";7
"heterogeneous";2018;2;"5_8";3
"heterogeneous";2019;2;"5_8";12
"heterogeneous";2015;2;"5_9";8
"heterogeneous";2016;2;"5_9";12
"heterogeneous";2017;2;"5_9";7
"heterogeneous";2018;2;"5_9";3
"heterogeneous";2019;2;"5_9";10
"heterogeneous";2015;2;"6_7";11
"heterogeneous";2016;2;"6_7";14
"heterogeneous";2017;2;"6_7";9
"heterogeneous";2018;2;"6_7";0
"heterogeneous";2019;2;"6_7";15
"heterogeneous";2015;2;"6_8";12
